Theoritical theta	Error rate	mu	Execution time
800.0	0.9692456451542912	0.002	0.186
800.0	1.0103490856464705	0.002	0.186
800.0	0.9219545899643645	0.002	0.186
1600.0	1.0450439252016972	0.004	0.414
1600.0	0.9988578012077967	0.004	0.414
1600.0	1.00990711316806	0.004	0.414
3200.0	1.0094651406896495	0.008	1.071
3200.0	1.0139953585933574	0.008	1.071
3200.0	0.9959849800981283	0.008	1.071
4800.0	0.9686563485164106	0.012	1.707
4800.0	0.9990051253672669	0.012	1.707
4800.0	0.9978265320915055	0.012	1.707
8000.0	1.020647044393436	0.02	3.794
8000.0	1.0156527553873969	0.02	3.794
8000.0	0.972339452503165	0.02	3.794
