Theoritical theta	Error rate	mu	Execution time
800.0	0.9935909113530147	0.002	0.147
800.0	1.021215148462504	0.002	0.147
800.0	1.0306191440742452	0.002	0.147
800.0	1.0071091550448925	0.002	0.147
800.0	1.0899818663733605	0.002	0.147
800.0	1.0200396490110364	0.002	0.147
800.0	1.0176886501081013	0.002	0.147
800.0	1.011811152850763	0.002	0.147
800.0	1.043549638040389	0.002	0.147
800.0	1.002407157239022	0.002	0.147
800.0	0.9715502966379966	0.002	0.147
800.0	0.9506851813744461	0.002	0.147
800.0	1.0100479036735615	0.002	0.147
800.0	0.95127293110018	0.002	0.147
800.0	0.9747829201295326	0.002	0.147
800.0	0.983011416289806	0.002	0.147
800.0	1.0835166193902885	0.002	0.147
800.0	1.0000561583360867	0.002	0.147
800.0	1.0032887818276226	0.002	0.147
800.0	1.0141621517536983	0.002	0.147
800.0	0.9650850496549246	0.002	0.147
800.0	0.9627340507519894	0.002	0.147
800.0	1.0382598905087845	0.002	0.147
800.0	1.0188641495595687	0.002	0.147
800.0	1.0253293965426407	0.002	0.147
800.0	0.9962357851188169	0.002	0.147
800.0	0.9368730628197015	0.002	0.147
800.0	1.0394353899602522	0.002	0.147
800.0	0.9689054228721945	0.002	0.147
800.0	1.005052031004824	0.002	0.147
800.0	1.0097540288106945	0.002	0.147
800.0	1.0294436446227775	0.002	0.147
800.0	0.9653789245177916	0.002	0.147
800.0	0.871632843263248	0.002	0.147
800.0	0.9977051594331514	0.002	0.147
800.0	1.0027010321018888	0.002	0.147
800.0	0.9647911747920578	0.002	0.147
800.0	1.0185702746967018	0.002	0.147
800.0	1.017982524970968	0.002	0.147
800.0	1.0226845227768386	0.002	0.147
800.0	0.9791910430725362	0.002	0.147
800.0	0.9791910430725362	0.002	0.147
800.0	0.9727257960894643	0.002	0.147
800.0	1.025035521679774	0.002	0.147
800.0	1.074700373504281	0.002	0.147
800.0	1.011517277987896	0.002	0.147
800.0	0.9683176731464607	0.002	0.147
800.0	1.047370011257659	0.002	0.147
800.0	1.0206273987367702	0.002	0.147
800.0	1.0162192757937667	0.002	0.147
800.0	1.0182763998338349	0.002	0.147
800.0	1.033557892702914	0.002	0.147
800.0	1.0526597587892632	0.002	0.147
800.0	0.983305291152673	0.002	0.147
800.0	0.9982929091588852	0.002	0.147
800.0	1.043255763177522	0.002	0.147
800.0	0.9362853130939678	0.002	0.147
800.0	1.0203335238739033	0.002	0.147
800.0	0.9521545556887807	0.002	0.147
800.0	1.0385537653716517	0.002	0.147
800.0	1.0585372560466013	0.002	0.147
800.0	0.9492158070601117	0.002	0.147
800.0	1.060006630360936	0.002	0.147
800.0	0.9230609442649569	0.002	0.147
800.0	0.9327588147395649	0.002	0.147
800.0	0.9697870474607951	0.002	0.147
800.0	0.9724319212265974	0.002	0.147
800.0	0.9835991660155399	0.002	0.147
800.0	0.9897705381357449	0.002	0.147
800.0	1.0441373877661229	0.002	0.147
800.0	1.062357629263871	0.002	0.147
800.0	0.9821297917012053	0.002	0.147
800.0	1.0529536336521301	0.002	0.147
800.0	0.9938847862158816	0.002	0.147
800.0	0.9627340507519894	0.002	0.147
800.0	1.0344395172915148	0.002	0.147
800.0	0.8966122066069352	0.002	0.147
800.0	1.049721010160594	0.002	0.147
800.0	1.0106356533992953	0.002	0.147
800.0	1.024153897091173	0.002	0.147
800.0	0.951566805963047	0.002	0.147
800.0	0.9054284524929425	0.002	0.147
800.0	1.0291497697599106	0.002	0.147
800.0	0.9492158070601117	0.002	0.147
800.0	1.0123989025764968	0.002	0.147
800.0	0.9327588147395649	0.002	0.147
800.0	0.9965296599816839	0.002	0.147
800.0	1.065590252755407	0.002	0.147
800.0	0.9659666742435254	0.002	0.147
800.0	0.9430444349399066	0.002	0.147
800.0	1.0350272670172487	0.002	0.147
800.0	1.0029949069647557	0.002	0.147
800.0	0.9251180683050252	0.002	0.147
800.0	1.0235661473654394	0.002	0.147
800.0	1.0282681451713098	0.002	0.147
800.0	0.9392240617226367	0.002	0.147
800.0	1.027680395445576	0.002	0.147
800.0	1.0176886501081013	0.002	0.147
