label,x,y,plot_type,plot_num
Pop1,0.0,6.25e-05,path,0
Pop1,0.006446550674235979,6.25e-05,path,0
Pop1,0.006691428615550429,6.25e-05,path,0
Pop1,0.006945608462515298,6.25e-05,path,0
Pop1,0.007209443556261542,6.25e-05,path,0
Pop1,0.0074833006598961594,6.25e-05,path,0
Pop1,0.007767560468347851,6.25e-05,path,0
Pop1,0.008062618137579611,6.25e-05,path,0
Pop1,0.008368883833903953,6.25e-05,path,0
Pop1,0.008686783304164314,6.25e-05,path,0
Pop1,0.009016758467575338,6.25e-05,path,0
Pop1,0.009359268030044754,6.25e-05,path,0
Pop1,0.00971478812183076,6.25e-05,path,0
Pop1,0.010083812959421434,6.25e-05,path,0
Pop1,0.010466855532556208,6.25e-05,path,0
Pop1,0.010864448317344469,6.25e-05,path,0
Pop1,0.011277144016472566,6.25e-05,path,0
Pop1,0.011705516327528299,6.25e-05,path,0
Pop1,0.012150160740510833,6.25e-05,path,0
Pop1,0.012611695365634766,6.25e-05,path,0
Pop1,0.013090761792579066,6.25e-05,path,0
Pop1,0.013588025982375346,6.25e-05,path,0
Pop1,0.014104179193175272,6.25e-05,path,0
Pop1,0.014639938941184106,6.25e-05,path,0
Pop1,0.015196049998096145,6.25e-05,path,0
Pop1,0.015773285426418635,6.25e-05,path,0
Pop1,0.016372447654123354,6.25e-05,path,0
Pop1,0.01699436959011984,6.25e-05,path,0
Pop1,0.017639915782100817,6.25e-05,path,0
Pop1,0.018309983618369406,6.25e-05,path,0
Pop1,0.019005504575318834,6.25e-05,path,0
Pop1,0.019727445512298745,6.25e-05,path,0
Pop1,0.020476810015668173,6.25e-05,path,0
Pop1,0.02125463979390352,6.25e-05,path,0
Pop1,0.022062016125701005,6.25e-05,path,0
Pop1,0.022900061363086525,6.25e-05,path,0
Pop1,0.023769940491622465,6.25e-05,path,0
Pop1,0.02467286274988042,6.25e-05,path,0
Pop1,0.02561008331043092,6.25e-05,path,0
Pop1,0.02658290502468714,6.25e-05,path,0
Pop1,0.027592680234027975,6.25e-05,path,0
Pop1,0.02864081264971824,6.25e-05,path,0
Pop1,0.029728759304239353,6.25e-05,path,0
Pop1,0.030858032576742973,6.25e-05,path,0
Pop1,0.032030202295443365,6.25e-05,path,0
Pop1,0.033246897919870934,6.25e-05,path,0
Pop1,0.03450981080602063,6.25e-05,path,0
Pop1,0.035820696557544024,6.25e-05,path,0
Pop1,0.037181377466253475,6.25e-05,path,0
Pop1,0.038593745045331064,6.25e-05,path,0
Pop1,0.0400597626587636,0.24466020169724434,path,0
Pop1,0.04158146825065923,0.24466020169724434,path,0
Pop1,0.043160977178239385,0.24466020169724434,path,0
Pop1,0.04480048515244449,0.24466020169724434,path,0
Pop1,0.04650227129024125,0.24466020169724434,path,0
Pop1,0.048268701282874464,0.24466020169724434,path,0
Pop1,0.050102230684467695,0.24466020169724434,path,0
Pop1,0.05200540832554444,0.24466020169724434,path,0
Pop1,0.05398087985621474,0.24466020169724434,path,0
Pop1,0.05603139142395312,0.24466020169724434,path,0
Pop1,0.05815979349107995,0.24466020169724434,path,0
Pop1,0.060369044797253385,0.24466020169724434,path,0
Pop1,0.06266221647248003,0.24466020169724434,path,0
Pop1,0.06504249630636189,0.24466020169724434,path,0
Pop1,0.06751319317951446,0.24466020169724434,path,0
Pop1,0.0700777416633164,0.24466020169724434,path,0
Pop1,0.07273970679438435,0.24466020169724434,path,0
Pop1,0.07550278903041073,0.24466020169724434,path,0
Pop1,0.07837082939425344,0.24466020169724434,path,0
Pop1,0.08134781481342805,0.24466020169724434,path,0
Pop1,0.0844378836624257,0.24466020169724434,path,0
Pop1,0.0876453315155606,0.24466020169724434,path,0
Pop1,0.09097461711834486,0.24466020169724434,path,0
Pop1,0.09443036858569075,0.24466020169724434,path,0
Pop1,0.09801738983555766,0.24466020169724434,path,0
Pop1,0.10174066726698681,0.24466020169724434,path,0
Pop1,0.10560537669180661,0.24466020169724434,path,0
Pop1,0.10961689052964535,0.24466020169724434,path,0
Pop1,0.11378078527625296,0.24466020169724434,path,0
Pop1,0.11810284925551308,0.24466020169724434,path,0
Pop1,0.1225890906659226,0.24466020169724434,path,0
Pop1,0.1272457459327237,0.24466020169724434,path,0
Pop1,0.1320792883772993,0.24466020169724434,path,0
Pop1,0.13709643721588247,0.24466020169724434,path,0
Pop1,0.1423041669000906,0.24466020169724434,path,0
Pop1,0.14770971681226777,0.24466020169724434,path,0
Pop1,0.15332060132911296,0.24466020169724434,path,0
Pop1,0.1591446202675844,0.24466020169724434,path,0
Pop1,0.1651898697276012,0.24466020169724434,path,0
Pop1,0.17146475334661368,0.24466020169724434,path,0
Pop1,0.17797799398168943,0.24466020169724434,path,0
Pop1,0.1847386458353532,0.24466020169724434,path,0
Pop1,0.1917561070420383,0.24466020169724434,path,0
Pop1,0.1990401327326442,0.24466020169724434,path,0
Pop1,0.20660084859536418,0.24466020169724434,path,0
Pop1,0.21444876495163281,0.24466020169724434,path,0
Pop1,0.22259479136676,0.24466020169724434,path,0
Pop1,0.2310502518155638,0.24466020169724434,path,0
Pop1,0.2398269004240827,0.24466020169724434,path,0
Pop1,0.2489369378092515,0.24466020169724434,path,0
Pop1,0.258393028039253,1.0160820821808458,path,0
