label,x,y,plot_type,plot_num
Pop1,0.0,62.5,path,0
Pop1,0.013166378833910707,62.5,path,0
Pop1,0.013583388800588394,62.5,path,0
Pop1,0.014013606446803653,62.5,path,0
Pop1,0.014457450090612896,62.5,path,0
Pop1,0.01491535129918234,62.5,path,0
Pop1,0.015387755308418235,62.5,path,0
Pop1,0.0158751214558878,62.5,path,0
Pop1,0.016377923627451756,62.5,path,0
Pop1,0.016896650718042753,62.5,path,0
Pop1,0.017431807107037737,62.5,path,0
Pop1,0.01798391314868644,62.5,path,0
Pop1,0.018553505678072943,62.5,path,0
Pop1,0.019141138533102182,62.5,path,0
Pop1,0.019747383093018975,62.5,path,0
Pop1,0.020372828833983236,62.5,path,0
Pop1,0.021018083902241524,62.5,path,0
Pop1,0.021683775705452334,62.5,path,0
Pop1,0.02237055152273993,62.5,path,0
Pop1,0.023079079134070132,62.5,path,0
Pop1,0.023810047469559822,62.5,path,0
Pop1,0.024564167279351602,62.5,path,0
Pop1,0.025342171824705027,62.5,path,0
Pop1,0.026144817590976175,62.5,path,0
Pop1,0.02697288502317909,62.5,path,0
Pop1,0.027827179284844055,62.5,path,0
Pop1,0.028708531040910774,62.5,path,0
Pop1,0.029617797265417533,62.5,path,0
Pop1,0.030555862074771775,62.5,path,0
Pop1,0.031523637587412404,62.5,path,0
Pop1,0.03252206481069942,62.5,path,0
Pop1,0.03355211455589357,62.5,path,0
Pop1,0.03461478838211549,62.5,path,0
Pop1,0.03571111957020221,62.5,path,0
Pop1,0.03684217412740804,62.5,path,0
Pop1,0.03800905182392657,62.5,path,0
Pop1,0.03921288726224186,62.5,path,0
Pop1,0.040454850980348435,62.5,path,0
Pop1,0.04173615058991277,62.5,path,0
Pop1,0.04305803195048313,62.5,path,0
Pop1,0.04442178038088923,62.5,path,0
Pop1,0.04582872190900992,62.5,path,0
Pop1,0.04728022456112378,62.5,path,0
Pop1,0.048777699692096575,62.5,path,0
Pop1,0.050322603357698746,62.5,path,0
Pop1,0.0519164377303875,62.5,path,0
Pop1,0.05356075255992995,62.5,path,0
Pop1,0.05525714668028766,62.5,path,0
Pop1,0.0570072695642277,62.5,path,0
Pop1,0.05881282292717188,62.5,path,0
Pop1,0.06067556238184365,62.5,path,0
Pop1,0.0625972991453215,62.5,path,0
Pop1,0.06457990180015871,62.5,path,0
Pop1,0.06662529811128198,62.5,path,0
Pop1,0.0687354769004354,62.5,path,0
Pop1,0.07091248997999236,62.5,path,0
Pop1,0.07315845414801601,62.5,path,0
Pop1,0.07547555324650779,62.5,path,0
Pop1,0.0778660402848454,62.5,path,0
Pop1,0.08033223963047537,62.5,path,0
Pop1,0.08287654926898959,62.5,path,0
Pop1,0.08550144313578394,62.5,path,0
Pop1,0.08820947352156595,62.5,path,0
Pop1,0.0910032735540506,62.5,path,0
Pop1,0.09388555975825695,62.5,path,0
Pop1,0.09685913469789569,62.5,path,0
Pop1,0.0999268897004154,62.5,path,0
Pop1,0.1030918076683574,62.5,path,0
Pop1,0.10635696597975285,62.5,path,0
Pop1,0.10972553948038205,62.5,path,0
Pop1,0.11320080357080582,62.5,path,0
Pop1,0.11678613739117016,62.5,path,0
Pop1,0.12048502710688119,62.5,path,0
Pop1,0.12430106929834513,62.5,path,0
Pop1,0.12823797445806914,62.5,path,0
Pop1,0.13229957059852362,62.5,path,0
Pop1,0.13648980697427407,62.5,path,0
Pop1,0.14081275792200101,62.5,path,0
Pop1,0.14527262682214304,62.5,path,0
Pop1,0.149873750186014,62.5,path,0
Pop1,0.15462060187236837,62.5,path,0
Pop1,0.15951779743751598,62.5,path,0
Pop1,0.16457009862321398,62.5,path,0
Pop1,0.16978241798670196,62.5,path,0
Pop1,0.17515982367737984,62.5,path,0
Pop1,0.1807075443647754,62.5,path,0
Pop1,0.18643097432259165,62.5,path,0
Pop1,0.19233567867377738,62.5,path,0
Pop1,0.1984273988017224,62.5,path,0
Pop1,0.20471205793283673,62.5,path,0
Pop1,0.211195766895944,62.5,path,0
Pop1,0.2178848300640883,62.5,path,0
Pop1,0.22478575148453106,62.5,path,0
Pop1,0.2319052412029005,62.5,path,0
Pop1,0.2392502217876402,62.5,path,0
Pop1,0.24682783506110395,62.5,path,0
Pop1,0.2546454490438383,62.5,path,0
Pop1,0.2627106651188078,62.5,path,0
Pop1,0.27103132542252845,62.5,path,0
Pop1,0.27961552047029364,62.5,path,0
Pop1,0.2884715970229117,62.5,path,0
